transaction_id,case_id,timestamp,chain,asset,from_wallet,to_wallet,amount,usd_value,transaction_type,status
TX1-001,CASE001,2026-05-05T09:00:00Z,Bitcoin,BTC,bc1qpayrollsource0010000000000000000000000,bc1qnormalcust0010000000000000000000000000,0.18,11700,customer_inflow,confirmed
TX1-002,CASE001,2026-05-06T12:15:00Z,Bitcoin,BTC,bc1qnormalcust0010000000000000000000000000,bc1qcryptoshielddep00100000000000000000000,0.2,13000,exchange_deposit,confirmed
TX1-003,CASE001,2026-06-14T16:20:00Z,Bitcoin,BTC,bc1qfamilywallet00100000000000000000000000,bc1qnormalcust0010000000000000000000000000,0.12,7800,customer_inflow,confirmed
TX1-004,CASE001,2026-07-03T11:40:00Z,Bitcoin,BTC,bc1qnormalcust0010000000000000000000000000,bc1qcryptoshielddep00100000000000000000000,0.25,16250,exchange_deposit,confirmed
TX1-005,CASE001,2026-08-28T08:55:00Z,Bitcoin,BTC,bc1qpayrollsource0010000000000000000000000,bc1qnormalcust0010000000000000000000000000,0.42,27300,customer_inflow,confirmed
TX1-006,CASE001,2026-09-01T13:05:00Z,Bitcoin,BTC,bc1qnormalcust0010000000000000000000000000,bc1qcryptoshielddep00100000000000000000000,0.35,22750,exchange_deposit,confirmed
TX1-007,CASE001,2026-09-20T10:30:00Z,Bitcoin,BTC,bc1qnormalcust0010000000000000000000000000,bc1qcryptoshielddep00100000000000000000000,0.5,32500,exchange_deposit,confirmed
TX2-001,CASE002,2026-09-20T08:00:00Z,Ethereum,USDT,0xffffffffffffffffffffffffffffffffffff2001,0x2222222222222222222222222222222222222101,10000,10000,wallet_transfer,confirmed
TX2-002,CASE002,2026-09-20T08:12:00Z,Ethereum,USDT,0xcccccccccccccccccccccccccccccccccccc2001,0x2222222222222222222222222222222222222102,9800,9800,wallet_transfer,confirmed
TX2-003,CASE002,2026-09-20T08:18:00Z,Ethereum,USDT,0xdddddddddddddddddddddddddddddddddddd2001,0x2222222222222222222222222222222222222103,9900,9900,wallet_transfer,confirmed
TX2-004,CASE002,2026-09-20T09:05:00Z,Ethereum,USDT,0x2222222222222222222222222222222222222101,0x2222222222222222222222222222222222222001,9800,9800,customer_inflow,confirmed
TX2-005,CASE002,2026-09-20T09:14:00Z,Ethereum,USDT,0x2222222222222222222222222222222222222102,0x2222222222222222222222222222222222222001,9600,9600,customer_inflow,confirmed
TX2-006,CASE002,2026-09-20T09:22:00Z,Ethereum,USDT,0x2222222222222222222222222222222222222103,0x2222222222222222222222222222222222222001,9700,9700,customer_inflow,confirmed
TX2-007,CASE002,2026-09-20T09:41:00Z,Ethereum,USDT,0x2222222222222222222222222222222222222001,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee2002,29100,29100,exchange_deposit,confirmed
TX3-001,CASE003,2026-09-21T07:30:00Z,Ethereum,USDT,0xaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa3001,0x3333333333333333333333333333333333333101,26000,26000,wallet_transfer,confirmed
TX3-002,CASE003,2026-09-21T07:32:00Z,Ethereum,USDT,0xcccccccccccccccccccccccccccccccccccc3001,0xbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb3001,72000,72000,mixer_deposit,confirmed
TX3-003,CASE003,2026-09-21T08:03:00Z,Ethereum,USDT,0xbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb3001,0x3333333333333333333333333333333333333102,61500,61500,mixer_withdrawal,confirmed
TX3-004,CASE003,2026-09-21T08:15:00Z,Ethereum,USDT,0x3333333333333333333333333333333333333101,0x3333333333333333333333333333333333333103,25300,25300,wallet_transfer,confirmed
TX3-005,CASE003,2026-09-21T08:21:00Z,Ethereum,USDT,0x3333333333333333333333333333333333333102,0x3333333333333333333333333333333333333103,61200,61200,wallet_transfer,confirmed
TX3-006,CASE003,2026-09-21T08:36:00Z,Ethereum,USDT,0x3333333333333333333333333333333333333103,0x3333333333333333333333333333333333333001,86000,86000,customer_inflow,confirmed
TX3-007,CASE003,2026-09-21T09:20:00Z,Ethereum,USDT,0x3333333333333333333333333333333333333001,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee3003,86000,86000,exchange_deposit,confirmed
